| Nomde do Evento |      Endereço    | Categoria |      Descrição       | Horário |
| Casamento       | Gildo de Freitas | Casamento | Festa de Casamento   | 16:30   |
| Casamento       | Gildo de Freitas | Casamento | Festa de Casamento   | 16:30   |
| Casamento       | Gildo de Freitas | Casamento | Festa de Casamento   | 16:30   |
| Casamento       | Gildo de Freitas | Casamento | Festa de Casamento   | 16:30   |
| Casamento       | Gildo de Freitas | Casamento | Festa de Casamento   | 16:30   |
| Casamento       | Gildo de Freitas | Casamento | Festa de Casamento   | 16:30   |
| Casamento       | Gildo de Freitas | Casamento | Festa de Casamento   | 16:30   |
| Casamento       | Gildo de Freitas | Casamento | Festa de Casamento   | 16:30   |
| Casamento       | Gildo de Freitas | Casamento | Festa de Casamento   | 16:30   |
| Casamento       | Gildo de Freitas | Casamento | Festa de Casamento   | 16:30   |
| Casamento       | Gildo de Freitas | Casamento | Festa de Casamento   | 16:30   |
| Casamento       | Gildo de Freitas | Casamento | Festa de Casamento   | 16:30   |
| Casamento       | Gildo de Freitas | Casamento | Festa de Casamento   | 16:30   |
| Casamento       | Gildo de Freitas | Casamento | Festa de Casamento   | 16:30   |
| Casamento       | Gildo de Freitas | Casamento | Festa de Casamento   | 16:30   |
| Casamento       | Gildo de Freitas | Casamento | Festa de Casamento   | 16:30   |
| Casamento       | Gildo de Freitas | Casamento | Festa de Casamento   | 16:30   |
| Casamento       | Gildo de Freitas | Casamento | Festa de Casamento   | 16:30   |
| Casamento       | Gildo de Freitas | Casamento | Festa de Casamento   | 16:30   |
| Casamento       | Gildo de Freitas | Casamento | Festa de Casamento   | 16:30   |
| Casamento       | Gildo de Freitas | Casamento | Festa de Casamento   | 16:30   |
| Casamento       | Gildo de Freitas | Casamento | Festa de Casamento   | 16:30   |
